INSERT INTO `productos`(`id_producto`, `nombre_producto`, `precio_producto`, `stock_producto`, `cantidadComprada`, `categoria_id`, `deporte_id`, `marca_id`) VALUES 
(NULL,'Zapatillas de Running Adidas', 62000, 50, 200, 14, 14, 1),
(NULL,'Pelota de Fútbol Nike', 35000, 100, 500, 19, 1, 9),
(NULL,'Camiseta de Fútbol Boca Juniors', 55000, 80, 350, 1, 1, 9),
(NULL,'Raqueta de Tenis Wilson', 75000, 30, 100, 20, 5, 14),
(NULL,'Pelota de Básquet Spalding', 40000, 80, 300, 19, 3, 9),
(NULL,'Red de Voleibol Mikasa', 50000, 10, 60, 21, 6, 9),
(NULL,'Zapatillas de Básquet Nike', 70000, 40, 180, 14, 3, 9),
(NULL,'Bicicleta de Montaña Trek', 150000, 15, 20, 26, 16, 9),
(NULL,'Guantes de Boxeo Everlast', 45000, 25, 90, 31, 13, 9),
(NULL,'Casco de Ciclismo Giro', 38000, 50, 130, 24, 16, 9),
(NULL,'Malla de Natación Speedo', 29000, 60, 200, 7, 15, 9),
(NULL,'Saco de Boxeo RDX', 95000, 5, 40, 31, 13, 9),
(NULL,'Pelota de Rugby Gilbert', 42000, 70, 250, 19, 11, 9),
(NULL,'Protector Bucal Shock Doctor', 12000, 100, 400, 39, 11, 9),
(NULL,'Pelota de Handball Molten', 36000, 50, 150, 19, 12, 9),
(NULL,'Zapatillas de Fútbol Adidas', 64000, 45, 210, 14, 1, 1),
(NULL,'Short de Tenis Nike', 32000, 70, 100, 5, 5, 9),
(NULL,'Canilleras de Fútbol Puma', 18000, 90, 300, 40, 1, 10),
(NULL,'Bolsa de Deporte Reebok', 26000, 50, 200, 11, 1, 11),
(NULL,'Camiseta de Básquet Los Angeles Lakers', 48000, 60, 220, 1, 3, 9),
(NULL,'Medias de Compresión Under Armour', 20000, 80, 180, 13, 14, 13),
(NULL,'Pelota de Vóley Molten', 34000, 75, 270, 19, 6, 9),
(NULL,'Zapatillas de Running Asics', 67000, 35, 120, 14, 14, 2),
(NULL,'Casco de Rugby Canterbury', 45000, 30, 140, 24, 11, 9),
(NULL,'Mochila Deportiva Nike', 33000, 40, 170, 34, 14, 9),
(NULL,'Guantes de Arquería Reusch', 50000, 20, 90, 33, 11, 9),
(NULL,'Pantalón de Entrenamiento Adidas', 35000, 55, 210, 2, 14, 1),
(NULL,'Zapatillas de Vóley Mizuno', 59000, 30, 110, 14, 6, 9),
(NULL,'Casco de Escalada Petzl', 80000, 10, 40, 24, 16, 9),
(NULL,'Camiseta de Running New Balance', 28000, 65, 190, 1, 14, 8),
(NULL,'Pesa Rusa de 12kg', 70000, 20, 60, 28, 14, 9),
(NULL,'Zapatillas de Ciclismo Shimano', 83000, 25, 50, 14, 16, 9),
(NULL,'Bolsa de Dormir Doite', 70000, 15, 70, 31, 14, 9),
(NULL,'Zapatillas de Fútbol Puma', 65000, 50, 220, 14, 1, 10),
(NULL,'Camiseta de Tenis Roger Federer', 55000, 30, 150, 1, 5, 9),
(NULL,'Gorra Deportiva Adidas', 20000, 100, 350, 17, 14, 1),
(NULL,'Cuerda para Saltar Reebok', 15000, 70, 200, 27, 14, 11),
(NULL,'Traje de Neopreno Rip Curl', 120000, 10, 30, 10, 19, 9),
(NULL,'Short de Boxeo Venum', 34000, 60, 150, 5, 13, 9),
(NULL,'Bicicleta de Ruta Scott', 190000, 8, 12, 26, 16, 9),
(NULL,'Zapatillas de Trail Running Salomon', 75000, 25, 90, 14, 14, 9),
(NULL,'Camiseta de Básquet Chicago Bulls', 49000, 45, 160, 1, 3, 9),
(NULL,'Guantes de Ciclismo Pearl Izumi', 27000, 50, 180, 11, 16, 9),
(NULL,'Botella de Agua Deportiva Nalgene', 18000, 120, 400, 11, 14, 9),
(NULL,'Short de Fútbol Nike', 30000, 70, 190, 5, 1, 9),
(NULL,'Zapatillas de Skateboarding Vans', 55000, 40, 140, 14, 16, 9),
(NULL,'Mochila para Escalada Mammut', 92000, 15, 40, 34, 14, 9),
(NULL,'Chaleco Salvavidas Helly Hansen', 80000, 10, 20, 4, 14, 9),
(NULL,'Zapatillas de Running Reebok', 68000, 30, 110, 14, 14, 11),
(NULL,'Camisa de Entrenamiento Under Armour', 35000, 50, 180, 1, 14, 13),
(NULL,'Canilleras de Fútbol Nike', 16000, 90, 320, 40, 1, 9),
(NULL,'Red de Badminton Yonex', 38000, 15, 70, 21, 10, 9),
